Date,Close/Last,Volume,Open,High,Low,Day
02/21/2025,216.58,55323850,223.28,223.31,214.74,1256
02/20/2025,222.88,30001670,224.775,225.13,221.81,1255
02/19/2025,226.63,28566710,225.52,226.83,223.71,1254
02/18/2025,226.65,42975130,228.82,229.3,223.72,1253
02/14/2025,228.68,27031080,229.2,229.89,227.23,1252
02/13/2025,230.37,31346510,228.85,230.42,227.52,1251
02/12/2025,228.93,32285250,230.46,231.18,228.16,1250
02/11/2025,232.76,23713730,231.92,233.44,230.13,1249
02/10/2025,233.14,35419930,230.545,233.92,229.2,1248
02/07/2025,229.15,77539280,232.5,234.81,228.06,1247
02/06/2025,238.83,60897100,238.01,239.6599,236.01,1246
02/05/2025,236.17,38832040,237.02,238.32,235.2,1245
02/04/2025,242.06,29713810,239.01,242.52,238.03,1244
02/03/2025,237.42,37285870,234.06,239.25,232.9,1243
01/31/2025,237.68,36162380,236.5,240.29,236.41,1242
01/30/2025,234.64,32020730,237.14,237.95,232.22,1241
01/29/2025,237.07,26091720,239.015,240.39,236.15,1240
01/28/2025,238.15,41587190,234.29,241.77,233.98,1239
01/27/2025,235.42,49428330,226.21,235.61,225.86,1238
01/24/2025,234.85,25890740,234.5,236.4,232.93,1237
01/23/2025,235.42,26404360,234.1,235.52,231.51,1236
01/22/2025,235.01,41448220,232.02,235.44,231.19,1235
01/21/2025,230.71,39951460,228.9,231.78,226.94,1234
01/17/2025,225.94,42370120,225.84,226.51,223.08,1233
01/16/2025,220.66,24757280,224.42,224.65,220.31,1232
01/15/2025,223.35,31291260,222.83,223.57,220.75,1231
01/14/2025,217.76,24711650,220.44,221.82,216.2,1230
01/13/2025,218.46,27262660,218.06,219.4,216.47,1229
01/10/2025,218.94,36811530,221.46,221.71,216.5,1228
01/08/2025,222.13,25033290,223.185,223.52,220.2,1227
01/07/2025,222.11,28084160,227.9,228.381,221.46,1226
01/06/2025,227.61,31849830,226.78,228.835,224.84,1225
01/03/2025,224.19,27515610,222.505,225.36,221.62,1224
01/02/2025,220.22,33956580,222.03,225.15,218.19,1223
12/31/2024,219.39,24819660,222.965,223.2299,218.94,1222
12/30/2024,221.3,28321240,220.06,222.9972,218.43,1221
12/27/2024,223.75,27367150,225.6,226.03,220.9,1220
12/26/2024,227.05,16174500,228.5,228.5,226.6706,1219
12/24/2024,229.05,15007500,226.94,229.14,226.13,1218
12/23/2024,225.06,28070010,225.01,226.88,223.9,1217
12/20/2024,224.92,88279180,219.84,226.21,218.73,1216
12/19/2024,223.29,39918740,224.91,226.09,222.92,1215
12/18/2024,220.52,43281440,230.77,231.3999,220.11,1214
12/17/2024,231.15,35948130,232.39,232.73,227.85,1213
12/16/2024,232.93,37552100,230.23,233,228.01,1212
12/13/2024,227.46,28768080,228.4,230.2,225.8608,1211
12/12/2024,228.97,28204080,229.83,231.09,227.63,1210
12/11/2024,230.26,35385790,226.41,231.2,226.26,1209
12/10/2024,225.04,31199860,226.09,229.06,224.2002,1208
12/09/2024,226.09,46819360,227.21,230.08,225.67,1207
12/06/2024,227.03,44178070,220.75,227.15,220.6,1206
12/05/2024,220.55,41140220,218.03,222.15,217.3,1205
12/04/2024,218.16,48745720,215.96,220,215.75,1204
12/03/2024,213.44,32214830,210.31,214.02,209.65,1203
12/02/2024,210.71,39523190,209.96,212.99,209.5101,1202
11/29/2024,207.89,24892450,205.83,208.2,204.59,1201
11/27/2024,205.74,28061640,206.98,207.64,205.05,1200
11/26/2024,207.86,41673740,201.9,208,201.79,1199
11/25/2024,201.45,40685670,199.28,201.9499,199,1198
